QU_ID;QUESTION;ANSW_A;ANSW_B;ANSW_C;ANSW_D;ANSW_E;;;;;;;;;;;
QUESTION 1;Which of the following connection types, as seen in nmcli connection show, may exist in NetworkManager? (Choose three.);A. tcp;B. ethernet;C. wifi;D. ipv6;E. bridge; ;;;;;;;;;;
QUESTION 2;On a Linux workstation, the route command takes a long time before printing out the routing table. Which of the following errors does that indicate?;A. The local routing information may be corrupted and must be re-validated using a routing protocol.;B. One of the routers in the routing table is not available which causes the automatic router failure detection mechanism (ARF-D) to wait for a timeout.;C. There may accidentally be more than one default router in which case a default router election has to be done on the network in order to choose one router as the default.;D. The Linux Kernel Routing Daemon (LKRD) is not running and should be started using its init script or systemd unit.;E. DNS resolution may not be working as route by default tries to resolve names of routers and destinations and may run into a timeout.;;;;;;;;;;;
QUESTION 3;Which of the following nmcli subcommands exist? (Choose two.);A. nmcli ethernet;B. nmcli device;C. nmcli wifi;D. nmcli address;E. nmcli connection;;;;;;;;;;;
QUESTION 4;Which of the following changes may occur as a consequence of using the command ip? (Choose three.);A. Network interfaces may become active or inactive.;B. New name servers may be added to the resolver configuration.;C. The system’s host name may change.;D. IP addresses may change.;E. The routing table may change.; ;;;;;;;;;;
QUESTION 5;How many IP addresses can be used for unique hosts inside the IPv4 subnet 192.168.2.128/26?;A. 6 ;B. 14;C. 30;D. 62;E. 126;;;;;;;;;;;
QUESTION 6;Which of the following commands configure network interfaces based on the system’s existing distribution-specific configuration files? (Choose two.);A. ifconf;B. ifdown;C. ifpause;D. ifstart;E. ifup; ;;;;;;;; ;;
QUESTION 7;Which of the following information is stored in /etc/shadow for each user?;A. The timestamp of the user’s last login;B. The user’s private SSH keys;C. The hashed password of the user;D. The numerical user ID (UID);E. The path to the user’s home directory;;;;;;;;;;;
QUESTION 8;Which of the following commands shows all active systemd timers?;A. systemctl-timer show;B. timectl list;C. systemctl -t;D. systemctl list-timers;E. timeq;;;;;;;;;;;
QUESTION 9;Which of the following tasks can the date command accomplish? (Choose two.);A. Set the system’s date and time.;B. Set the system’s date but not the time.;C. Calculate the time span between two dates.;D. Print a calendar for a month or a year.;E. Display time in a specific format.; ;;;;;;;;;;
QUESTION 10;FILL BLANK;Which file, if present, must contain all users that are allowed to use the cron scheduling system? (Specify the full name of the file, including path.); ;;;;;;;;;;;;;;
QUESTION 11;What can be specified with useradd? (Choose two.);A. Commands the user can run using sudo.;B. The absolute path to the user’s home directory.;C. Which printers are available for the new user.;D. The SSH keys used to login to the new account.;E. The numeric user ID (UID) of the user.;;;;;;;;;;;
QUESTION 12;What is true about the file /etc/localtime?;A. It is a plain text file containing a string such as Europe/Berlin;B. It is created and maintained by the NTP service based on the location of the system’s IP address.;C. It is a symlink to /sys/device/clock/ltime and always contains the current local time.;D. After changing this file, newtzconfig has to be run to make the changes effective.;E. It is either a symlink to or a copy of a timezone information file such as /usr/share/zoneinfo/Europe/Berlin.;;;;;;;;;;;
QUESTION 13;Which of the following statements is true regarding systemd timer units?;A. Timer units can only be defined within a service unit’s file.;B. The command executed by the timer is specified in the timer unit’s [Cmd] section.;C. A dedicated system service, systemd-cron, handles the execution of timer units.;D. Timer units only exist in the system scope and are not available for users.;E. Each systemd timer unit controls a specific systemd service unit.; ;;;;;;;;;;
QUESTION 14;Which of the following fields are available in the standard format of both the global /etc/crontab file as well as in user-specific crontab files? (Choose two.);A. Year;B. Minute;C. Username;D. Effective group ID;E. Command;;;;;;;;;;;
QUESTION 15;Which option in the chrony configuration file changes the initial interval of polls to a NTP server in order to speed up the initial synchronization?;A. iburst;B. quickstart;C. fast;D. fsync;E. flood;;;;;;;;;;;
QUESTION 16;Why is the correct configuration of a system’s time zone important?;A. Because the timezone is included in checksum calculations and timezone changes invalidate existing checksums.;B. Because the time zone is saved as part of the modification times of files and cannot be changed after a file is created.;C. Because the environment variables LANG and LC_MESSAGES are, by default, set according to the time zone.;D. Because NTP chooses servers nearby based on the configured time zone.;E. Because the conversion of Unix timestamps to local time relies on the time zone configuration.; ;;;;;;;;;;
QUESTION 17;Which of the following commands lists all queued print jobs?;A. lpd;B. lpr;C. lp;D. lsq;E. lpq; ;;;;;;;;;;
